,ds,y
0,2018-01-02,158.49000549316406
1,2018-01-03,160.02999877929688
2,2018-01-04,160.30999755859375
3,2018-01-05,161.9199981689453
4,2018-01-08,162.5500030517578
5,2018-01-09,162.55999755859375
6,2018-01-10,162.17999267578125
7,2018-01-11,163.2899932861328
8,2018-01-12,164.49000549316406
9,2018-01-16,164.02000427246094
10,2018-01-17,165.7899932861328
11,2018-01-18,165.82000732421875
12,2018-01-19,166.33999633789062
13,2018-01-22,168.1199951171875
14,2018-01-23,169.50999450683594
15,2018-01-24,168.41000366210938
16,2018-01-25,168.35000610351562
17,2018-01-26,170.92999267578125
18,2018-01-29,170.10000610351562
19,2018-01-30,168.6999969482422
20,2018-01-31,169.39999389648438
21,2018-02-01,167.9600067138672
22,2018-02-02,164.61000061035156
23,2018-02-05,158.1199951171875
24,2018-02-06,162.30999755859375
25,2018-02-07,160.2100067138672
26,2018-02-08,153.4499969482422
27,2018-02-09,156.10000610351562
28,2018-02-12,158.8699951171875
29,2018-02-13,159.69000244140625
30,2018-02-14,162.67999267578125
31,2018-02-15,165.6999969482422
32,2018-02-16,164.9600067138672
33,2018-02-20,165.2899932861328
34,2018-02-21,164.82000732421875
35,2018-02-22,164.8000030517578
36,2018-02-23,168.1699981689453
37,2018-02-26,170.39999389648438
38,2018-02-27,168.2899932861328
39,2018-02-28,167.2100067138672
40,2018-03-01,164.47999572753906
41,2018-03-02,165.99000549316406
42,2018-03-05,167.8300018310547
43,2018-03-06,168.5399932861328
44,2018-03-07,168.92999267578125
45,2018-03-08,169.86000061035156
46,2018-03-09,173.16000366210938
47,2018-03-12,174.0800018310547
48,2018-03-13,171.7100067138672
49,2018-03-14,171.67999267578125
50,2018-03-15,171.52999877929688
51,2018-03-16,171.02000427246094
52,2018-03-19,167.10000610351562
53,2018-03-20,167.64999389648438
54,2018-03-21,166.9199981689453
55,2018-03-22,162.8000030517578
56,2018-03-23,158.50999450683594
57,2018-03-26,164.39999389648438
58,2018-03-27,159.0800018310547
59,2018-03-28,157.25
60,2018-03-29,160.1300048828125
61,2018-04-02,155.50999450683594
62,2018-04-03,157.25999450683594
63,2018-04-04,159.74000549316406
64,2018-04-05,160.64999389648438
65,2018-04-06,156.6300048828125
66,2018-04-09,157.72999572753906
67,2018-04-10,161.2100067138672
68,2018-04-11,160.27999877929688
69,2018-04-12,162.2100067138672
70,2018-04-13,161.3699951171875
71,2018-04-16,162.60000610351562
72,2018-04-17,166.10000610351562
73,2018-04-18,166.44000244140625
74,2018-04-19,164.91000366210938
75,2018-04-20,162.3000030517578
76,2018-04-23,161.88999938964844
77,2018-04-24,158.4600067138672
78,2018-04-25,158.64999389648438
79,2018-04-26,161.99000549316406
80,2018-04-27,162.08999633789062
81,2018-04-30,160.94000244140625
82,2018-05-01,162.77999877929688
83,2018-05-02,161.82000732421875
84,2018-05-03,161.8000030517578
85,2018-05-04,164.8699951171875
86,2018-05-07,166.24000549316406
87,2018-05-08,166.07000732421875
88,2018-05-09,167.8800048828125
89,2018-05-10,169.6199951171875
90,2018-05-11,169.4600067138672
91,2018-05-14,169.75
92,2018-05-15,167.8699951171875
93,2018-05-16,168.97999572753906
94,2018-05-17,168.3300018310547
95,2018-05-18,167.4600067138672
96,2018-05-21,168.39999389648438
97,2018-05-22,168.17999267578125
98,2018-05-23,169.60000610351562
99,2018-05-24,169.5500030517578
100,2018-05-25,169.72000122070312
101,2018-05-29,168.97000122070312
102,2018-05-30,170.17999267578125
103,2018-05-31,170.07000732421875
104,2018-06-01,172.74000549316406
105,2018-06-04,174.3000030517578
106,2018-06-05,174.83999633789062
107,2018-06-06,175.86000061035156
108,2018-06-07,174.42999267578125
109,2018-06-08,174.44000244140625
110,2018-06-11,174.91000366210938
111,2018-06-12,175.8300018310547
112,2018-06-13,175.82000732421875
113,2018-06-14,177.60000610351562
114,2018-06-15,176.97999572753906
115,2018-06-18,176.5
116,2018-06-19,176.0
117,2018-06-20,177.25
118,2018-06-21,175.7100067138672
119,2018-06-22,175.32000732421875
120,2018-06-25,171.3699951171875
121,2018-06-26,172.07000732421875
122,2018-06-27,169.72999572753906
123,2018-06-28,171.19000244140625
124,2018-06-29,171.64999389648438
125,2018-07-02,172.8000030517578
126,2018-07-03,170.8000030517578
127,2018-07-05,172.9199981689453
128,2018-07-06,175.61000061035156
129,2018-07-09,177.19000244140625
130,2018-07-10,177.32000732421875
131,2018-07-11,176.4199981689453
132,2018-07-12,179.4600067138672
133,2018-07-13,179.61000061035156
134,2018-07-16,179.17999267578125
135,2018-07-17,180.27000427246094
136,2018-07-18,179.92999267578125
137,2018-07-19,179.02999877929688
138,2018-07-20,178.99000549316406
139,2018-07-23,179.55999755859375
140,2018-07-24,180.3000030517578
141,2018-07-25,182.82000732421875
142,2018-07-26,180.0500030517578
143,2018-07-27,177.6199951171875
144,2018-07-30,175.11000061035156
145,2018-07-31,176.4499969482422
146,2018-08-01,177.1199951171875
147,2018-08-02,179.52999877929688
148,2018-08-03,180.0800018310547
149,2018-08-06,181.13999938964844
150,2018-08-07,181.8000030517578
151,2018-08-08,182.02000427246094
152,2018-08-09,181.91000366210938
153,2018-08-10,180.52000427246094
154,2018-08-13,180.32000732421875
155,2018-08-14,181.4499969482422
156,2018-08-15,179.22999572753906
157,2018-08-16,179.82000732421875
158,2018-08-17,179.86000061035156
159,2018-08-20,179.6999969482422
160,2018-08-21,180.36000061035156
161,2018-08-22,181.05999755859375
162,2018-08-23,180.8000030517578
163,2018-08-24,182.47999572753906
164,2018-08-27,184.33999633789062
165,2018-08-28,184.61000061035156
166,2018-08-29,186.74000549316406
167,2018-08-30,186.41000366210938
168,2018-08-31,186.64999389648438
169,2018-09-04,185.85000610351562
170,2018-09-05,183.4499969482422
171,2018-09-06,181.80999755859375
172,2018-09-07,181.11000061035156
173,2018-09-10,181.72000122070312
174,2018-09-11,183.1199951171875
175,2018-09-12,182.5800018310547
176,2018-09-13,184.52999877929688
177,2018-09-14,183.99000549316406
178,2018-09-17,181.33999633789062
179,2018-09-18,182.83999633789062
180,2018-09-19,182.6999969482422
181,2018-09-20,184.72000122070312
182,2018-09-21,183.7100067138672
183,2018-09-24,183.88999938964844
184,2018-09-25,184.13999938964844
185,2018-09-26,184.27000427246094
186,2018-09-27,185.8300018310547
187,2018-09-28,185.7899932861328
188,2018-10-01,186.1699981689453
189,2018-10-02,185.75
190,2018-10-03,185.9499969482422
191,2018-10-04,182.3800048828125
192,2018-10-05,180.14999389648438
193,2018-10-08,179.0500030517578
194,2018-10-09,179.6300048828125
195,2018-10-10,171.72999572753906
196,2018-10-11,169.60000610351562
197,2018-10-12,174.32000732421875
198,2018-10-15,172.2100067138672
199,2018-10-16,177.22000122070312
200,2018-10-17,177.2899932861328
201,2018-10-18,173.17999267578125
202,2018-10-19,173.02000427246094
203,2018-10-22,173.91000366210938
204,2018-10-23,173.27000427246094
205,2018-10-24,165.33999633789062
206,2018-10-25,171.05999755859375
207,2018-10-26,166.66000366210938
208,2018-10-29,163.22999572753906
209,2018-10-30,165.9199981689453
210,2018-10-31,169.82000732421875
211,2018-11-01,172.05999755859375
212,2018-11-02,169.3800048828125
213,2018-11-05,168.9600067138672
214,2018-11-06,170.24000549316406
215,2018-11-07,175.5800018310547
216,2018-11-08,174.4600067138672
217,2018-11-09,171.52000427246094
218,2018-11-12,166.3300018310547
219,2018-11-13,166.47000122070312
220,2018-11-14,165.1999969482422
221,2018-11-15,168.08999633789062
222,2018-11-16,167.5
223,2018-11-19,162.05999755859375
224,2018-11-20,159.16000366210938
225,2018-11-21,160.3699951171875
226,2018-11-23,159.2100067138672
227,2018-11-26,162.88999938964844
228,2018-11-27,163.44000244140625
229,2018-11-28,168.6999969482422
230,2018-11-29,168.14999389648438
231,2018-11-30,169.3699951171875
232,2018-12-03,172.3300018310547
233,2018-12-04,165.72000122070312
234,2018-12-06,166.88999938964844
235,2018-12-07,161.3800048828125
236,2018-12-10,163.07000732421875
237,2018-12-11,163.61000061035156
238,2018-12-12,165.0500030517578
239,2018-12-13,165.10000610351562
240,2018-12-14,161.0800018310547
241,2018-12-17,157.42999267578125
242,2018-12-18,158.4199981689453
243,2018-12-19,154.52999877929688
244,2018-12-20,152.2899932861328
245,2018-12-21,147.57000732421875
