Date,y
2018-01-02,158.49000549316406
2018-01-03,160.02999877929688
2018-01-04,160.30999755859375
2018-01-05,161.9199981689453
2018-01-08,162.5500030517578
2018-01-09,162.55999755859375
2018-01-10,162.17999267578125
2018-01-11,163.2899932861328
2018-01-12,164.49000549316406
2018-01-16,164.02000427246094
2018-01-17,165.7899932861328
2018-01-18,165.82000732421875
2018-01-19,166.33999633789062
2018-01-22,168.1199951171875
2018-01-23,169.50999450683594
2018-01-24,168.41000366210938
2018-01-25,168.35000610351562
2018-01-26,170.92999267578125
2018-01-29,170.10000610351562
2018-01-30,168.6999969482422
2018-01-31,169.39999389648438
2018-02-01,167.9600067138672
2018-02-02,164.61000061035156
2018-02-05,158.1199951171875
2018-02-06,162.30999755859375
2018-02-07,160.2100067138672
2018-02-08,153.4499969482422
2018-02-09,156.10000610351562
2018-02-12,158.8699951171875
2018-02-13,159.69000244140625
2018-02-14,162.67999267578125
2018-02-15,165.6999969482422
2018-02-16,164.9600067138672
2018-02-20,165.2899932861328
2018-02-21,164.82000732421875
2018-02-22,164.8000030517578
2018-02-23,168.1699981689453
2018-02-26,170.39999389648438
2018-02-27,168.2899932861328
2018-02-28,167.2100067138672
2018-03-01,164.47999572753906
2018-03-02,165.99000549316406
2018-03-05,167.8300018310547
2018-03-06,168.5399932861328
2018-03-07,168.92999267578125
2018-03-08,169.86000061035156
2018-03-09,173.16000366210938
2018-03-12,174.0800018310547
2018-03-13,171.7100067138672
2018-03-14,171.67999267578125
2018-03-15,171.52999877929688
2018-03-16,171.02000427246094
2018-03-19,167.10000610351562
2018-03-20,167.64999389648438
2018-03-21,166.9199981689453
2018-03-22,162.8000030517578
2018-03-23,158.50999450683594
2018-03-26,164.39999389648438
2018-03-27,159.0800018310547
2018-03-28,157.25
2018-03-29,160.1300048828125
2018-04-02,155.50999450683594
2018-04-03,157.25999450683594
2018-04-04,159.74000549316406
2018-04-05,160.64999389648438
2018-04-06,156.6300048828125
2018-04-09,157.72999572753906
2018-04-10,161.2100067138672
2018-04-11,160.27999877929688
2018-04-12,162.2100067138672
2018-04-13,161.3699951171875
2018-04-16,162.60000610351562
2018-04-17,166.10000610351562
2018-04-18,166.44000244140625
2018-04-19,164.91000366210938
2018-04-20,162.3000030517578
2018-04-23,161.88999938964844
2018-04-24,158.4600067138672
2018-04-25,158.64999389648438
2018-04-26,161.99000549316406
2018-04-27,162.08999633789062
2018-04-30,160.94000244140625
2018-05-01,162.77999877929688
2018-05-02,161.82000732421875
2018-05-03,161.8000030517578
2018-05-04,164.8699951171875
2018-05-07,166.24000549316406
2018-05-08,166.07000732421875
2018-05-09,167.8800048828125
2018-05-10,169.6199951171875
2018-05-11,169.4600067138672
2018-05-14,169.75
2018-05-15,167.8699951171875
2018-05-16,168.97999572753906
2018-05-17,168.3300018310547
2018-05-18,167.4600067138672
2018-05-21,168.39999389648438
2018-05-22,168.17999267578125
2018-05-23,169.60000610351562
2018-05-24,169.5500030517578
2018-05-25,169.72000122070312
2018-05-29,168.97000122070312
2018-05-30,170.17999267578125
2018-05-31,170.07000732421875
2018-06-01,172.74000549316406
2018-06-04,174.3000030517578
2018-06-05,174.83999633789062
2018-06-06,175.86000061035156
2018-06-07,174.42999267578125
2018-06-08,174.44000244140625
2018-06-11,174.91000366210938
2018-06-12,175.8300018310547
2018-06-13,175.82000732421875
2018-06-14,177.60000610351562
2018-06-15,176.97999572753906
2018-06-18,176.5
2018-06-19,176.0
2018-06-20,177.25
2018-06-21,175.7100067138672
2018-06-22,175.32000732421875
2018-06-25,171.3699951171875
2018-06-26,172.07000732421875
2018-06-27,169.72999572753906
2018-06-28,171.19000244140625
2018-06-29,171.64999389648438
2018-07-02,172.8000030517578
2018-07-03,170.8000030517578
2018-07-05,172.9199981689453
2018-07-06,175.61000061035156
2018-07-09,177.19000244140625
2018-07-10,177.32000732421875
2018-07-11,176.4199981689453
2018-07-12,179.4600067138672
2018-07-13,179.61000061035156
2018-07-16,179.17999267578125
2018-07-17,180.27000427246094
2018-07-18,179.92999267578125
2018-07-19,179.02999877929688
2018-07-20,178.99000549316406
2018-07-23,179.55999755859375
2018-07-24,180.3000030517578
2018-07-25,182.82000732421875
2018-07-26,180.0500030517578
2018-07-27,177.6199951171875
2018-07-30,175.11000061035156
2018-07-31,176.4499969482422
2018-08-01,177.1199951171875
2018-08-02,179.52999877929688
2018-08-03,180.0800018310547
2018-08-06,181.13999938964844
2018-08-07,181.8000030517578
2018-08-08,182.02000427246094
2018-08-09,181.91000366210938
2018-08-10,180.52000427246094
2018-08-13,180.32000732421875
2018-08-14,181.4499969482422
2018-08-15,179.22999572753906
2018-08-16,179.82000732421875
2018-08-17,179.86000061035156
2018-08-20,179.6999969482422
2018-08-21,180.36000061035156
2018-08-22,181.05999755859375
2018-08-23,180.8000030517578
2018-08-24,182.47999572753906
2018-08-27,184.33999633789062
2018-08-28,184.61000061035156
2018-08-29,186.74000549316406
2018-08-30,186.41000366210938
2018-08-31,186.64999389648438
2018-09-04,185.85000610351562
2018-09-05,183.4499969482422
2018-09-06,181.80999755859375
2018-09-07,181.11000061035156
2018-09-10,181.72000122070312
2018-09-11,183.1199951171875
2018-09-12,182.5800018310547
2018-09-13,184.52999877929688
2018-09-14,183.99000549316406
2018-09-17,181.33999633789062
2018-09-18,182.83999633789062
2018-09-19,182.6999969482422
2018-09-20,184.72000122070312
2018-09-21,183.7100067138672
2018-09-24,183.88999938964844
2018-09-25,184.13999938964844
2018-09-26,184.27000427246094
2018-09-27,185.8300018310547
